trialn;trial;historical;tau;test;n;y;z;m;notes
1;006;0;12;1;80;1;11;1;0
1;006;0;12;0;75;0;11;0;0
2;011;0;26;1;357;3;91;1;0
2;011;0;26;0;176;3;77;0;0
3;015;0;26;1;190;1;46;1;0
3;015;0;26;0;198;2;71;0;0
4;020;0;52;1;391;2;80;0;0
4;020;0;52;0;207;1;34;0;0
5;024;0;26;1;774;4;161;0;0
5;024;0;26;0;185;2;71;0;0
6;025;0;16;1;30;0;5;0;0
6;025;0;16;0;63;0;16;0;0
7;044;0;26;1;101;0;16;0;0
7;044;0;26;0;51;0;16;0;0
8;079;0;26;1;203;1;79;1;0
8;079;0;26;0;106;1;35;1;0
9;082;0;26;1;212;4;44;3;0
9;082;0;26;0;107;0;23;0;0
10;083;0;16;1;16;0;2;0;0
10;083;0;16;0;17;0;0;0;0
11;085;0;26;1;138;5;28;1;0
11;085;0;26;0;139;4;13;1;0
12;090;0;8;1;149;1;23;0;0
12;090;0;8;0;75;0;18;0;0
13;093;0;26;1;213;1;57;0;0
13;093;0;26;0;109;1;28;0;0
14;094;0;26;1;232;2;36;1;0
14;094;0;26;0;116;0;22;0;0
15;095;0;26;1;196;2;46;1;0
15;095;0;26;0;96;1;16;0;0
16;096;0;26;1;116;1;14;0;0
16;096;0;26;0;115;0;21;0;0
17;098;0;8;1;191;1;21;1;0
17;098;0;8;0;96;0;12;0;0
18;127;0;26;1;56;1;16;0;0
18;127;0;26;0;58;0;17;0;0
19;132;0;24;1;442;1;51;1;0
19;132;0;24;0;112;0;39;0;0
20;134;0;26;1;561;1;84;1;0
20;134;0;26;0;276;2;50;0;0
21;135;0;104;1;116;2;26;2;0
21;135;0;104;0;111;5;54;3;0
22;136;0;26;1;148;5;34;2;0
22;136;0;26;0;143;1;26;0;0
23;137;0;32;1;204;1;40;0;0
23;137;0;32;0;185;6;32;1;0
24;140;0;12;1;65;0;3;0;0
24;140;0;12;0;71;0;9;0;0
25;143;0;24;1;121;1;27;0;0
25;143;0;24;0;124;0;30;0;0
26;145;0;26;1;231;2;36;1;0
26;145;0;26;0;242;0;70;0;0
27;147;0;26;1;89;1;12;0;0
27;147;0;26;0;88;1;29;0;0
28;162;0;26;1;168;2;27;1;0
28;162;0;26;0;172;1;45;0;0
29;211;0;52;1;110;8;30;3;0
29;211;0;52;0;114;6;32;2;0
30;234;0;26;1;116;0;7;0;0
30;234;0;26;0;58;0;5;0;0
31;282;0;24;1;70;0;5;0;0
31;282;0;24;0;75;0;6;0;0
32;284;0;24;1;382;3;76;1;0
32;284;0;24;0;384;0;95;0;0
33;311;0;12;1;58;0;2;0;0
33;311;0;12;0;14;1;1;0;0
34;325;0;24;1;196;1;40;0;0
34;325;0;24;0;195;0;54;0;0
35;334;0;52;1;99;0;19;0;0
35;334;0;52;0;101;0;18;0;0
36;347;0;24;1;209;0;62;0;0
36;347;0;24;0;212;0;62;0;0
37;352;0;16;1;31;1;3;0;0
37;352;0;16;0;30;0;1;0;0
38;369;0;26;1;25;0;1;0;0
38;369;0;26;0;24;0;6;0;0
39;712753/002;0;24;1;288;2;30;1;0
39;712753/002;0;24;0;280;0;44;0;0
40;712753/003;0;32;1;254;1;50;0;0
40;712753/003;0;32;0;272;0;54;0;0
41;712753/007;0;32;1;314;1;41;0;0
41;712753/007;0;32;0;154;0;31;0;0
42;797620/004;0;28;1;672;0;87;0;0
42;797620/004;0;28;0;222;0;26;0;0
43;BRL-049653/376;0;16;1;19;0;1;0;0
43;BRL-049653/376;0;16;0;21;0;0;0;0
44;BRL-049653/351;0;52;1;27;0;3;0;0
44;BRL-049653/351;0;52;0;29;0;1;0;0
45;BRL-049653/128;0;24;1;39;1;10;0;0
